PESTICIDE FORMULATIONS REGISTERED FOR USE IN THE COUNTRY
UNDER THE INSECTICIDES ACT, 1968
                                                          (Updated on 31.03.2026)
                             FORMULATIONS OF PESTICIDES
S. No.   Formulation registered
                                       A. INSECTICIDES
635   Trichoderma viride 1.5% AS [Strain AMMFA-TV1; (NCMR Accession No. MCC 0582]
636   Trichoderma viride 1.5% WP (Strain No. IIHR-TV-5AccessionsNo.ITCC6889)
637   Trichoderma viride 5% SP [Strain IPL/VT/102, Accession No. MTCC 25775]
638   Verticillium chlamydosporium 1.0%WP, (2x106CFU/gm min) Strain –IIHR-VC- 3
      Accession No –ITCC-6898
639   Verticillium lecanii 1.15% WP, (1x108CFU/gm min) Strain–ASMEGH-VL Accession No–
      MCC-1028
640   Lecanicillium (Verticillium) lecanii 1.5% A.S. (CFU count: 1x10^8 /ml Min.) Strain-AMMFA-
      V1, NCMR Accession number MCC 0577 (Biopesticide)
641   Verticillium lecanii 1.50% Liquid Formulation, (1x108CFU/ml. min.) Strain–T Stanes VI-
      1, Accession No– MTCC-5172
642   Verticillium lecanii 3.0% AS, (strain: Accession No. MCC-1127, Strain No. MPKV
      /Biocontrol/RVN/VL-01
643   Verticillium lecanii 5.0% SC, (1x108CFU/gm Min.) Strain –Own Red Isolate, Strain
      No.VI- 17874, MTCC No.5716
644   Verticilliumlecanii5.0%SC, (Strain: Accession No. NFCCI-2638
                                  G. BIO-FUNGICIDES
645      Ampelomyces quisqualis 2.0% WP (Aq-1MTCC-5683)
646      Ampelomyces quisqualis 1.5% AS (CFU count: 2 x 10^6 /ml min.) [Strain AMMFA-AQI,
         NBAIM, Accession No. NAIMCC-SF-0117]
647      Ampelomyces quisqualis 1.5% LF (Strain T Stanes Aq 1; Accession No. MTCC 5683)
648      Bacillus subtilis 1.0% WP (CPBT15, MTCC5527)
649      Bacillus subtilis 1.15% A.S.
650      Bacillus subtilis1.5% LF (Bs-1, MTCC25072)
651      Bacillus subtilis 1.5% A.S. (BIL, BS-168)
652      Bacillus subtilis 1.5% A.S.(KTSBMTCC5786)
653      Bacillus subtilis 1.5% A.S. (AMMFA-BS 1, NCMR Accession No. MCC 0581)
654      Bacillus subtilis2.0% A.S. (IPL/BS/09, MTCC-5728)
655      Pseudomonas flourescens1.5% LF (PF-1, MTCCNo.5671)
656      Pseudomonas fluorescens0.5% W.P.(TNAUPF1ITCCBE-0005)
657      Pseudomonas fluorescens1.0% W.P. (IIHR-PF-2, ITCCB-0034)
658      Pseudomonas fluorescens 1.0% W.P. (IPL/PS-01, MTCC-5727)
659      Pseudomonas fluorescens 1.15% A.S. (AS AAIF, MCC2539)
660      Pseudomonas fluorescens 1.5% WP
661      Pseudomonas fluorescens 1.75% WP (PF-1MTCCNo.5671)
662      Pseudomonas fluorescens 2.0% A.S. (IPL/PS-01)
663      Trichoderma harzianum 0.5% WS (T-39)
664      Trichoderma harzianum 1.0% WP (Th3, ITCC-5593)
665      Trichoderma harzianum 1.0% W.P. (IIHR-Th-2, ITCC-6888)
666      Trichoderma harzianum 2.0% A.S. (IPL/VT/1026893)
667      Trichoderma harzianum 20% SC (CFU count: 2 x 10^6 /ml min.) [ICAR-IIOR strain Th4d,
         Accession No. NAIMCC-F-02188]
668      Trichoderma harzianum 2.0% WP (NBRI-1055)
669      Trichoderma harzianum 5.0% SC (ITCC-7111)
670      Trichoderma harzianum 5.0% WP
671      Trichoderma reesei 3.0 % WP (CFU Count: 1 x 10^7/gm min.) [Strain No. CRT-3, Accession
         No. NAIMCC-SF-00300]
672      Trichoderma ressei 3.0% WP (CSR-T-3, NAIMCC-SF-0030)
673      Trichoderma viride 0.50% W.P.
674      Trichoderma viride 1.0 % AS (TV AAU RJP, MCC 1013)
675      Trichoderma viride 1.0% W.P. (Tv-1, ITCC-6914)
676      Trichoderma viride 1.00% W.P. (IPL/VT/101)
677      Trichoderma viride1.00% W.P. (T-14)
678      Trichoderma viride1.5% LF (Tv-1, MTCC-5170)
679      Trichoderma viride 1.5% W.P. (IIHR-Tv-5, ITCC-6889)
680      Trichoderma viride 1.5% A.S. (AMMFA-TV 1, NCMR Accession No. MCC 0582)
681      Trichoderma viride 2% W.P. (BHU, NAIMCC F 02976)
682      Trichoderma viride 5% LF (NAIM-F-03034)
                FORMULATIONS OF COMBINATION OF PESTICIDES
S. No.   Formulation registered
                                 A. INSECTICIDES
683   Acephate 25%+ Fenvalerate 3% EC
684   Acephate 45%+ Cypermethrin 5% DF
685   Acephate 50%+ Bifenthrin 10% WDG
686   Acephate 50%+ Fiproni l5% WDG
687   Acephate 50%+ Imidacloprid 1.8% SP
688   Acephate 50% + Imidacloprid 5% WG
689   Acetamiprid 0.4%+ Chlorpyriphos 20% EC
690   Acetamiprid 1.1%+ Cypermethrin 5.5% EC
691   Acetamiprid 20% + Chlorantraniliprole 20% WG
692   Acetamiprid 25% + Bifenthrin 25% WG
693   Acetamiprid 19.5% + Chlorantraniliprole 19.5% FS
694   Afidopyropen 50 g/l + Abamectin 25 g/l DC
695   Alphacypermethrin 75 g/l + Teflubenzuron 75 g/l SC
696   Benzpyrimoxan 10% + Pymetrozine 20% WG
697   Benzpyrimoxan 15% + Fipronil 10% SC
698   Benzpyrimoxan 10.0 % + Thiamethoxam 3.3 % SC
699   Betacyfluthrin 8.49%+Imidacloprid1 9.81% OD
700   Bifenthrin 2.5% + Acetamiprid 2.1% ME
701   Bifenthrin 10% + Thiamethoxam 5% SC
702   Bifenthrin 3% + Chlorpyriphos 30% EC
703   Bifenthrin 8%+ Clothianidin 10% SC
704   Bifenthrin 25% + Thiamethoxam 25% WG
705   Bifenthrin 32 % + Chlorantraniliprole 12% WG
706   Buprofezin 20%+ Acephate 50% WP
707   Buprofezin 20%+ Acetamiprid 2% WP
708   Buprofezin 22.0%+ Fipronil 3.0% SC
709   Buprofezin 22.5% + Diafenthiuron 27% w/v SC
710   Buprofezin 23.1%+ Fipronil 3.85% SC
711   Buprofezin 9.0%+ Acephate 24.0% WP
712   Buprofezin 15%+ Acephate 35% WP
713   Cartap hydrochloride 25% + Emamectin benzoate 1% SG
714   CartapHydrochloride 4.0%+ Fipronil 0.50% GC
715   Cartaphydrochloride 50%+ Buprofezin 10% WP
716   CartapHydrochloride 7.5%w/w+ Emamectin Benzoate 0.25%w/w GR
717   Cartap hydrochloride 7.5% + Chlorantraniliprole 0.4% GR
718   Chlorantraniliprole 0.35% + Fipronil 0.35% GR
719   Chlorantraniliprole 0.50% + Thiamethoxam 1% GR
720   Chlorantraniliprole 0.53% w/w + Fipronil 0.8% w/w GR
721   Chlorantraniliprole 0.83% + Fipronil 1.33% w/w GR
722   Chlorantraniliprole 12% + Fipronil 30% w/w WG
723   Chlorantraniliprole 4.3%+ Abamectin 1.7% SC
724   Chlorantraniliprole 4.5% + Novaluron 11.5% + Emamectin Benzoate 1.5% SE
725   Chlorantraniliprole 5.2% + Novaluron 8.5% SC
726   Chlorantraniliprole 7.5% w/w + Thiamethoxam 7.5% w/w OD
727   Chlorantraniliprole 8.8% + Thiamethoxam 17.5% SC
728   Chlorantraniliprole 9.3% + Lambdacyhalothrin 4.6% ZC
729   Chloropyriphos 16% + Alphacypermethrin 1% EC
730   Chlorantraniliprole 15% + Emamectin benzoate 7.5% SC
731   Chlorantraniliprole 24% + Emamectin Benzoate 8.8% WG
732   Chlorantraniliprole 0.4% + Fipronil 0.6% GR
733   Chlorantraniliprole 10% + Novaluron 20% SC
734   Chlorantraniliprorle 0.45% + Fipronil 0.5% + Emamectin benzoate 0.18% GR
735   Chlorantraniliporle 0.4% + Fipronil 0.6% + Clothianidin 1.0% GR
736   Chlorantraniliprole 6.5% + Lufenuron 5% + Emamectin benzoate 2% SC
737   Clothianidin 10% + Chlorantraniliprole 6% WG
738   Chlorpyriphos 50% + Cypermethrin 5% EC
739   Chlorpyriphos 50% + Cypermethrin 5% WG
740   Clothianidin 3.5% + Pyriproxyfen 8% SE
741   Cyantraniliprole 16.9% + Lufenuron 16.9% SC
742   Cyantraniliprole 7.3% + Diafenthiuron 36.4% SC
743   Cyantraniliprole 10 % + Pymetrozine 50 % WG
744   Cyantraniliprole 19.8% + Thiamethoxam 19.8% FS
745   Cyclanilide 2.10% + MepiquatChloride 8.40% SC
746   Cyfluthrin 0.025% + Tranfluthrin 0.04% Aerosol
747   Cypermethrin10% + Indoxacarb 10% SC
748   Cypermethrin 3% + Quinalphos 20% EC
749   Deltamethrin 0.02% + Allethrin 0.13% EC
750   Deltamethrin 0.05% + Allethrin 0.04% EC
751   Deltamethrin 0.15% + Piperonyl 0.55% EC
752   Deltamethrin 0.15%+Fipronil 0.55% EC
753   Deltamethrin 0.72% + Buprofezin 5.65% EC
754   Deltamethrin 2.5% + D-trans-allethrin 2.0% EC
755   Diafenthiuron 30% + Pyriproxyfen 8% SE
756   Diafenthiuron 40% + Spinetoram 5% SC
757   Diafenthiuron 47.0% + Bifenthrin 9.4% SC
758   Diafenthiuron 48.0% + Dinotefuran 8.0% WG
759   Diafenthiuron 18% + Fipronil 8% + Dinotefuran 5% SC
760   Diafenthiuron 12% + Fipronil 8% + Tolfenpyrad 5% SC
761   Diflubenzuron 20% + Deltamethrin 2% SC
762   Dimethoate 20% + Cypermethrin 3% EC
763   Dinotefuran 11% + Pymetrozine 36% WG
764   Dinotefuran 15% + Pymetrozine 45% WG
765   Dinotefuran 4% + Acephate 50% SG
766   Dinotefuran 5% + Ethion 50% EC
767   Didinotefuran 12% + Thiamethoxam 22.5% + Pymetrozine 30% WG
768   D-trans-allethrin 0.1% + Permethrin 0.03% + Imiprothroin 0.02% Aerosol
769   Emamectin benzoate 1.1% + Diafenthiuron 30% SC
770   EmamectinBenzoate1.5% + Fipronil 3.5% SC
771   EmamectinBenzoate1.5% + Profenofos 35% WDG
772   Emamectin benzoate 2.2% + Permethrin 15.3% SC
773   EmamectinBenzoate 5% + Lufenuron 40% WG
774   Emamectin benzoate 3.5% + Lambda cyhalothrin 5% WP
774   Emamectin benzoate 3.8% + Thiamethoxam 20% WDG
775   Emamectin Benzoate 1.25% + Lambda Cyhalothrin 1.5% + Bifenthrin 4.5% EC
777   Emamectin benzoate 1.9% + Chlorantraniliprole 5% + Deltamethrin 1% EC
778   Emamectin Benzoate 1.1% + Deltamethrin 1.5% + Lambda Cyhalothrin 1.5% ME
779   Ethion 40% + Cypermethrin 5% EC
780   Ethiprole 10.7% + Pymetrozine 40% WG
781   Ethiprole 40% + Imidacloprid 40% WG
782   Etofenprox 6% + Diafenthiuron 25% WG
783   Etoxazole 6 % + Abamectin 1.5 % SC
784   Fenazaquin10% + Bifenthrin 4% EC
785   Fenobucarb 20% + Buprofezin 5% SE
786   Fenobucarb 22.5% + Buprofezin 11.25% + Acephate 2.5% ME
787   Fipronil 10% + Diafenthiuron 30% WG
788   Fipronil 12.5% + Lambda-cyhalothrin 5% ZC
789   Fipronil 15% + Deltamethrin 2.5% SC
790   Fipronil 15%+ Flonicamid 15% WDG
791   Fipronil 2.50% + Propargite 35.00% SE
792   Fipronil 4%+ Acetamiprid 4%w/w SC
793   Fipronil 4%+ Thiamethoxam 4%w/w SC
794   Fipronil 40%+ Imidacloprid 40% WG
795   Fipronil 15 % + Imidacloprid 5 % SC
796   Fipronil 5% + Buprofenzin 20% SC
797   Fipronil 15 % + Chlorantraniliprole 5 % SC
798   Fipronil 7% + Hexythiazox 2%w/w SC
799   Fipronil 8% + Pymetrozine 35% WG
800   Flonicamid 11.7% + Diafenthiuron 36% WG
801   Flonicamid 20% + Fipronil 8% SC
802   Flonicamid 18% + Spirotetramat 13.5% SC
803   Flonicamid 20% + Chlorantraniliprole 8% + Abamectin 2% SC
804   Flonicamid 15% + Pyrirpoxyfen 12% + Acetamiprid 2% ME
805   Flubendiamide19.92% + Thiacloprid19.92% SC
806   Flubendiamide 3.50% + Hexaconazole 5% WG
807   Flubendiamide 4%+ Buprofezin 20%SC
808   Flubendiamide 7.5%+ Kresoximmethyl 37.5% SC
809   Flubendiamide 8.33%+ Deltamethrin 5.56% SC
810   Fluxametamide 3.8%+ Pyridaben 9.5% SC
811   Fluxametamide 5.81 % + Bifenthrin 5.81 % EC
812   Hexythiazox 3.5 + Diafenthiuron 42% WDG
813   Imidacloprid 18.50% + Hexaconazole1.50% FS
814   Imidacloprid 20%+ Bifenthrin 8% SL
815   Imidacloprid 21% + Beta-cyfluthrin10.5% SC
816   Imidacloprid 6.0% + Lambdacyhalothrin 4.0% SL
817   Imiprothrin 0.05% + Cypermethrin 1.0% CL
818   Imiprothrin 0.07% + Cypermethrin 0.20% Aerosol
819   Imiprothrin 0.1% + Cyphenothrin 0.15%
820   Indoxacarb 10% + Thiamethoxam 10% WG
821   Indoxacarb 14.5% + Acetamiprid 7.7% SC
822   Indoxacarb 5% + Fipronil 5% SC
823   Indoxacarb 12% (12% S-Isomer, 4% R-Isomer) + Chlorantraniliprole 12% OD
824   Indoxacarb 20% + Emamectin benzoate 4% EC
825   Isoprothiolane 28% + Fipronil 5% EC
826   Lambda-Cyhalothrin 5% + Clothianidin 5% + Carbendazim 37% SC
827   Lambda Cyhalothrin 10% + Lufenuron 12% SC
828   Lufenuron 4% + Emamectin Benzoate 1.5% EC
829   Lufenuron 20% + Chlorantraniliprole 10% + Pyriproxyfen 5% WG
830   Methoxyfenozide 18% + Emamectin benzoate 1.8% SC
831   Methoxyfenozide 20 % + Chlorantraniliprole 5 % SC
832   Methoxyfenozide 5% + Chlorpyriphos 25% SE
833   Nitenpyram 15.0% + Fipronil 20.0% WP
834   Novaluron 5.25% + Emamectin benzoate 0.9%w/w SC
835   Novaluron 5.25%+ Indoxacarb 4.5%SC
836   Novaluron 9.45% + Lambda cyhalothrin 1.9% ZC
837   Phenthoate 45% + Cypermethrin 6% EC
838   Phenthoate 35% + Emamectin benzoate 3.5% EC
839   Profenofos 40% + Cypermethrin 4% EC
840   Profenofos 40% + Cypermethrin 4% w/v EW
841   Profenofos 50% + Cypermethrin 5% WDG
842   Profenofos 50 % + Fenpropathrin 5 % EC
843   Profenofos 40 % + Fenpyroximate2.50 % EC
844   Profenofos 40% + Lambda cyhalothrin 1.5% EC
845   Propargite 42% + Hexythiazox 2%EC
846   Propargite 50% + Bifenthrin 5%SE
847   Propoxur 0.5% + Cyfluthrin 0.025% Spray
848   Propoxur 0.75% + Cyfluthrin 0.025% Aerosol
849   Pyrethrin 0.05% + Malathion 1% Household
850   Pyriproxyfen 10% + Bifenthrin 10%EC
851   Pyriproxyfen 5% + Fenpropathrin 15%EC
852   Pyriproxyfen 5.0% + Diafenthiuron 25%SE
853   Pyriproxyfen 8% + Dinotefuran5% + Diafenthiuron18%SC
854   Pymetrozine 14.8% + Fipronil 7.5% + Dinotefuran 4.8% SC
855   Pymetrozine 29.2% w/w + Dinotefuran 11.7% w/w WDG
856   Pymetrozine 11.3% + Triflumezopyrim 1.9% SC
857   Pyridalyl 7% + Emamectin benzoate 1% EC
858   Sedaxane 12.61% + Azoxystrobin 3.15% + Thiamethoxam 22.6% FS
859   Spinoteram 5.66% + Methoxyfenozide 28.3% SC
860   Spiropidion 9.6% + Abamectin 1.4% SC u/s
861    Spiropidion 30% w/w + Acetamiprid 24% w/w WG
862    Spiromesifen 15% + Hexythiazox 2.2% + Abamectin 1.15% SC
863    Spirotetramat 11.01% + Imidacloprid 11.01% SC
864    Sulfoxaflor 7.5% + Buprofezin 15% SC
865    Sulphur 75% + Chlorantraniliprole 0.85% WDG
866    Tetraniliprole 10.08 % + Thiacloprid 30.25 % SC
867    Tetraniliprole 10.81% + Spirotetramat 21.62% SC
868    Tetraniliprole 16% + Lambda-Cyhalothrin 10% OD
869   Thiamethoxam 0.4% + Bifenthrin 0.8% GR
870   Thiamethoxam 0.9% + Fipronil 0.2%GR
871   Thiamethoxam 1.0% + Chlorantraniliprole 0.5% GR
872   Thiamethoxam 1.25% + Fipronil 1.25% + Chlorantraniliprole 0.6% GR
873   Thiamethoxam 12.6% + Lambda-cyhalothrin 9.5%ZC
874   Thiamethoxam 1.25% + Fipronil 1.25% + Chlorantraniliprole 0.6% GR
875   Tolfenpyrad 15% + Bifenthrin 7.5% SE
876   Tolfenpyrad 30% + Pyriproxyfen 10% + Acetamiprid 4% EC
877   Transfluthrin1.0% + Cypermethrin 0.25% Spray
878   Triflumezopyrim 0.45% + Chlorantraniliprole 0.5% GR
879   Thiocyclam hydrogen oxalate 3.0% + Clothianidin 1.2% GR
                                     B. FUNGICIDES
880    Ametoctradin 27%+Dimethomorph 20.27%SC
881    Ametoctradin 25%(w/w) + Metalaxyl 20%(w/w) WDG
882    Amisulbrom 5.21% + Zoxamide 10.41% SC
883    Azoxystrobin 20% + Boscalid 25% SE
884    Azoxystrobin 11.0%+Tebuconazole18.3%SC
885    Azoxystrobin 11.5%+Mancozeb 30.0%WP
886    Azoxystrobin 12.5%+Tebuconazole 12.5%SC
887    Azoxystrobin 120g/l+Tebuconazole 240g/lSC
888    Azoxystrobin 14% +Epoxiconazole 09%SC
889    Azoxystrobin16.7%+Tricyclazole 33.3%SC
890    Azoxystrobin18.2%+Cyproconazole 7.3%SC
891    Azoxystrobin18.2%+Difenoconazole 11.4%SC
892    Azoxystrobin 4.7%+Mancozeb59.7%+Tebuconazole 5.6%WG
893    Azoxystrobin 4.8%+Chlorothalonil 40.0%SC
894    Azoxystrobin 5.1%+Tebuconazole9.1 %+ Prochloraz18.2% EC
895    Azoxystrobin 7.1%+Propiconazole 11.9%SE
896    Azoxystrobin 8.3% + Mancozeb 66.7% WG
897    Azoxystrobin 20% + Thifluzamide 15% SC
898    Azoxystrobin 25% + Boscalid 35% WG
899   Azoxystrobin 8.3% + Mancozeb 66.7% WG u/s
900   Azoxystrobin 13.04% + Thiafluzamide 15.66% SC
901   Azoxystrobin 4.5% + Mancozeb 67.5% + Cyproconazole 3.0% WG
902   Azoxystrobin 7.5% + Tebuconazole 12% + Isoprothiolane 12% SE
903   Azoxystrobin 30.5% + Myclobutanil 4.85% SE
904   Azoxystrobin 18.75% + Tricyclazole 37.5% WG
905    Azoxystrobin 4% + Isoprothiolane 12% + Mancozeb 30% WP w/w
904     Benalaxyl 8.0 %+Mancozeb 65%WP
907     Benalaxyl-M4.0%+Mancozeb 65.0%WP
908     Boscalid25.2+Pyraclostrobin 12.8%WG
909     Captan70% + Hexaconazole 5%WP
910     Carbendazim 1.92% + Mancozeb10.08%GR
911     Carbendazim12% + Mancozeb 63%WP
912     Carbendazim12% + Mancozeb 63%WS
913     Carbendazim 25%+Flusilazole 12.5%SE
914     Carbendazim 25% + Mancozeb 50%WS
915     Carbendazim 11.57% + Tebuconazole 11.57% SC
916     Carboxin17.5% +Thiram1 7.5% FF
917     Carboxin 37.5% +Thiram37.5%WS
918     Chlorothalonil 40% + Difenoconazole 4%w/w SC
919     Chlorothalonil 12.5% + Mancozeb 62.5% WG
920     Chlorothalonil 40% + Thiophanate methyl 35% WDG
921     Chlorothalonil 35 % + Cymoxanil 15% + Metalaxyl 2 % SC
922     Copper Sulphate 47.15% + Mancozeb 30%WDG
923     Copper Oxychloride 47% + Metalaxyl 8% WP
924     Cymoxanil 8%+Mancozeb 64%WP
925     Cyazofamid 25% + Pyraclostrobin 18% w/v SC
926     Cyazofamid 6.2% + Mancozeb 60.8% WP
927     Cyproconazole 12.5% + Tebuconazole 12.5% w/w SC
928     Difenoconazole 10% +Mancozeb 50%WDG
929     Difenoconazole 4% + Propineb 64% DF
930     Difenoconazole 6% + Validamycin 6% SC
931.    Difenconazole 4.8% + Mancozeb 64% WP
932     Difenconazole 4% + Propineb 64% DF
933     Dimethomorph 12%+Pyraclostrobin 6.7%WG
934     Famoxadone 16.6%+Cymoxanil 22.1%SC
935     Fenamidone 10%+Mancozeb 50%WDG
936     Fenamidone 4.44% + Fosetyl-Al 66.66%WDG
937     Fenoxanil 5%+ Isoprothiolane 30% EC
938     Fluindapyr 20.9% + Flutriafol 20.9% SC
940     Fluopicolide 5.56%+Propamocarbhydrochloride 55.6%SC
941     CF-1020 (Fluopicolide 10% + Dimethomorph 20% SC
942     Fluopyram 17.7%+Tebuconazole 17.7% SC
943     Fluopyram 21.37% + Trifloxystrobin 21.37% SC
944     Fluopicolide 17.54% + Cymoxanil 21.05% SC
945     Fluxapyroxad 167g/L+Pyraclostrobin 333g/lSC
946     Fluxapyroxad 250g/l + Pyraclostrobin 250g/l SC
947     Fluxapyroxad 62.5g/l +Epoxiconazole 62.5g/l EC
948     Fluxapyroxad 75g/l +Difenoconazole 50g/l SC
949     Hexaconazole 4%+Carbendazim16%w/w SC
950     Hexaconazole 4%+ Zineb 68%WP
951   Hexaconazole 5%+Validamycin 2.5%SC
952   Inpyrfluxam 6% + Tebuconazole 20% SC
953   Ipflufenoquin 10% + Azoxystrobin 22.5% WG
954   Iprodion 25% + Carbendazim 25% WP
955   Iprovalicarb 5.5% + Propineb 61.25%WP
956   Iprovalicarb 8.4% + copper oxychloride 68.2% w/w (40.6% w/w as Cu) WG
957   Isoprothiolane 25% + Picoxystrobin 10% EC
958   Isopyrazam 11.16% w/w + Azoxystrobin 17.86% w/w SC
959   Isopyrazam 11.5% w/w + Difenoconazole 11.5% w/w SC
960   Kasugamycin 5% + Copper Oxychloride 45%WP
961   Kasugamycin 6% +Thiafluzamide 26% SC
962   Kasugamycin 1% + Tebuconazole 14% + Kresoxim methyl 20% w/w SC
963   Kresoximmethyl 15% + chlorothalonil 56%WG
964   Kresoximmethyl 18% + Mancozeb 54%w/w WP
965   Kresoximmethyl 40%+Hexaconazole8%w/w WG
966   Mancozeb 40%+Azoxytrobin 7.0%w/w OS
967   Mancozeb 68% + Hexaconazole 4% WG
968   Mancozeb 50%+Thiophanate methyl 25%WG
969   Mancozeb 60% + Pyraclostrobin 5% w/w WG
970   Mancozeb 40.0% + Tebuconazole 1.0 % WS
971   Mancozeb 52.6% + Hexaconazole 2.4 % WG
972   Mancozeb 64% + Thiophanate Methyl 12% WP
973   Mancozeb 69.7% + Cyazofamid 5.3 % WG
974   Mandipropamid 5.0%+Mancozeb 60.0%WG
975   Mefentrifluaconazole 133g/l + Fluxapyroxad 89g/l +Pyraclostrobin 178 g/l SC
976   Metalaxyl–M 3.3%+Chlorothalonil 33.1%SC
977   Metalaxyl-M 3.9%+Mancozeb 64%WG
978   Metalaxyl-M 8%+Mancozeb 64%WP
979   Metalaxyl-M 4%+Mancozeb 64%WP
980   Metiram 44%+Dimethomorph 9%WG
981   Metiram 55%+Pyraclostrobin 5%WG
982   Oxathiapiprolin 1.4% + Azoxystrobin 14.46% SC
983   Oxathiapiprolin 0.6% w/w + Mancozeb 60 % w/w WG
984   Oxathiapiprolin 2.77% + Mandipropamid 23.08% SC
985   Oxathiapiprolin 4.61% w/w + Amisulbrom 23.08% w/w SE
986   Penflufen 13.28+Trifloxystrobin 13.28% FS
987   Picoxystrobin 6.78%+Tricyclazole 20.33% SC
988   Picoxystrobin 7.05%+Propiconazole 11.7% SC
989   Prochloraz 23.5%+Tricyclazole 20% SE
990   Prochloraz 24.4%+Tebuconazole 12.1%EW
991   Prochloraz 34.8%+Propiconazole 7.8%EC
992   Prochloraz 5.7%+Tebuconazole 1.4%ES
993   Propiconazole 10.7%+Tricyclazole 34.2%SE
994   Propiconazole 13.9%+Difenoconazole 13.9%EC
995   Propiconazole 10% + Thiophanate methyl 42% WP
996    Propineb 54.2%+Tricyclazole 15.0%WP
997    Propineb 70.0% + Cymoxanil 6.0% WP
998    Pyraclostrobin 133g/l+Epoxiconazole 50g/l(w/v) SE
999    Pyraclostrobin 10% + Thifluzamide 10% SC
1001   Pyraclostrobin 75 g/l + Tricyclazole 150 g/l ZC
1002   Pyraclostrobin 10% + Metiram 30% + Difenconazole 10% WG
1003   Pydiflumetofen 6.89% + Difenoconazole 11.49% SC (Pydiflumetofen 7.5% +
       Difenoconazole 12.5% SC)
1004   Pydiflumetofen 13.6% + Propiconazole 11.4% SE
1005   Sedaxane12.61%+Azoxystrobin3.15%+Thiamethoxam22.06%FS
1006   Sedaxane 15.27% + Fludioxonil 7.64 + Metalaxyl-M 3.06% FS
1007   Sedaxane 2.2% w/w + Fludioxonil 2.2% w/w+ Thiamethoxam 22.8%w/w FS
1008   Sedaxane 2.36% w/w + Fludioxonil 2.36% w/w FS (Sedaxane 2.5% w/v + Fludioxonil
       2.5% w/v FS)
1009   Sedaxane 3.70% w/w + Fludioxonil 4.63% w/w FS
1010   Streptomycin + Tetracycline (90+10)
1011   Streptomycin + Tetracycline (9%+1%)
1012   Sulphur 58.5% w/w (84% w/v) + Azoxystrobin 4.2% w/w (6% w/v) SC
1013   Sulphur 50% + Propineb 25% DF
1014   Tebuconazole10% +Sulphur65%WG
1015   Tebuconazole15%+Zineb57%WDG
1016   Tebuconazole 50% + Trifloxystrobin 25%WG
1017   Tebuconazole 6.7% +Captan 26.9% SC
1018   Thiafluzamide 15% + Difenconazole 20% SC
1019   Thifluzamide 9% + Difenoconazole 6% + Validamycin 3% SC
1020   Thiophanate Methyl 38% + Kasugamycin 2.23SC
1021   Thiophanate Methyl 450g/L + Pyroclostrobin 50g/L FS
1022   Thiophanate methyl 50% + picoxystrobin 10% WG
1023   Thiophanate methyl 15% + Copper oxychloride 40% WP
1024   Tricyclazole 18% + Mancozeb 62%WP
1025   Tricyclazole1 8.0+Tebuconazole 14.4%SC
1026   Tricyclazole 20.4%+Azoxystrobin 6.8%SC
1027   Tricyclazole 45%+Hexaconazole 10%WG
1028   Triflumezopyrim 10% w/w + Spinetoram 12% w/w WG
1029   Triflumezopyrim 4.79% w/w + Spinetoram 8.62 % w/w SC
1030   Trifloxystrobin 25% + Hexaconazole 25% WG
1031   Triticonazole 80 g/l + Pyraclostrobin 40% g/l FS
1032   Trifloxystrobin 10% + Difenoconazole 12.5% + Sulphur 3% SC
1033   Trifloxysrobin 6% + Thiamethoxam 24% + Thiophanate methyl 9.5% FS
1034   Valifenalate 6%+Mancozeb 60%WG
1035   Validamycin 5% + Tebuconazole 15% SC
1036   Validamycin 2.8% + Propiconazole 6% EW
1037   Zoxamide 33% + Cymoxanil 33% WP
                                      C. HERBICIDES
1038   2,4-D Sodium Salt 44%+Metribuzin 35%+ Pyrazosulfuron ethyl 1.0%WDG
1039   2,4-D Sodium salt 48% + Metribuzin 32% + Chlorimuron ethyl 0.85% WDG
1040   2,4-D sodium salt 50% + Metribuzin 15% WP
1041   Aclonifen 36.89 + Diflufenican 6.15% + Pyroxasulfone 4.10% SC
1042   Ametryn 73.1%+ Trifloxysulfuron Sodium 1.8% WG
1043   Anilofos 24%+ 2,4-D Ethyl Ester 32% EC
1044   Bensulfuron methyl 0.6%+Pretilachlor 6% Gr.
1045   Bensulfuron methyl 4.8% + Pretilachlor 48% OD
1046   Bispyribac Sodium 0.25% + Penoxsulam 0.25% + Pyrazosulfuron Ethyl 0.20% GR
1047   Bispyribac-Sodium 15% + Metsulfuron-methyl 2.4% + Chlorimuron ethyl 3.6% OD
1048   Bispyribac Sodium 20%+Pyrazosulfuron Ethyl1 5% WDG
1049   Bispyribac sodium 38% + Chlorimuron ethyl 2.5% + Metsulfuron methyl 2.5% WG
1050   Bispyribac sodium 2.00% + 2,4-D sodium salt 54.30% SP
1051   Bispyribac Sodium 7.6 % + Fenoxaprop-p- ethyl 11.4 % w/w WG
1052   Bispyribac sodium 9.5% + Penoxsulam 7.8% SC
1053   Bispyribac sodium 7.6% + Fenoxaprop-p-ethyl 11.4% WG
1054   BISPYRIBAC-SODIUM 25% + METSULFURON-METHYL 4% +
       PYRAZOSULFURON-ETHYL 20% WP
1055   Bixlozone 50% + Metribuzin 10% WG
1056   Carfentrazone ethyl 0.43% + Glyphosate 30.82%EW
1057   Carfentrazone ethyl 20% + Sulfosulfuron 25%WG
