PESTICIDE FORMULATIONS REGISTERED FOR USE IN THE COUNTRY
UNDER THE INSECTICIDES ACT, 1968
                                                          (Updated on 31.03.2026)
                             FORMULATIONS OF PESTICIDES
S. No.   Formulation registered
                                       A. INSECTICIDES
173   Imidacloprid 0.03% w/w Gel
174   Imidacloprid 0.30% GR
175   Imidacloprid 2.15% w/w Gel
176   Imidacloprid 17.1%w/w SL
177   Imidacloprid 17.80% SL
178   Imidacloprid 30.50% m/m SC
179   Imidacloprid 48%FS
180   Imidacloprid 70% WG
181   Imidacloprid 70% WS
182   Indoxacarb 14.50 % SC
183   Indoxacarb 15.80 % EC
184   Isocycloseram 9.2% w/w DC (Isocycloseram 10% DC)
185   Isocycloseram 18.1% SC
186   Lambda-cyhalothrin 0.50% Chalk
187   Lambda-cyhalothrin 22.8% CS
188   Lambda cyhalothrin 24% WDG
189   Lambda-cyhalothrin 2.43% CS
190   Lambda-cyhalothrin 2.50% EC
191   Lambda-cyhalothrin 4.90% CS
192   Lambda-cyhalothrin 5% EC
193   Lambda-cyhalothrin 10% WP
194   Lambda-cyhalothrin 9.7 % CS
195   Malathion 02% House Hold Spray
196   Malathion 05%DP
197   Malathion 25 %WP
198   Malathion 50% EC
199   Malathion 96%ULV
200   Metaflumizone 22%SC
201   Metaldehyde 2.5%DP
202   Methoxyfenozide 21.8%w/w SC
203   Methyl Bromide 98%w/w
204   Metofluthrin 0.005% Mosquito coil (12 Hrs)
205   Metofluthrin 0.005% Mosquito coil (7 Hrs)
206   Metofluthrin 0.14% w/w Aerosol
207   Metofluthrin 0.32%LV
208   Milbemectin 01% EC
209   Monocrotophos15% SG
210   Nitepyram 25% SP
211   Novaluron 08.80 %SC
212   Novaluron 10% EC
213   Oxydemeton-methyl 25%EC
214   Permethrin 02.00% w/w for Import only (Olyset@Net)
215   Permethrin 2.0% Aerosol
216   Permethrin 25% EC
217   Phenthoate 2% DP
218   Phenthoate 50% EC
219   Phosalone 04 % DP
220   Phosalone 35 %EC
221   Phosmet50%WP
222   Pirimiphosmethyl 50%EC
223   Pirimiphos-methyl 01% Spray
224   Prallethrin 0.04% Mosquito coil (11 Hrs)
225   Prallethrin 0.04%Mosquitocoil(12Hrs)
226   Prallethrin 0.04%Mosquitocoil(6Hrs)
227   Prallethrin 0.5% Mosquitocoil
228   Prallethrin 0.8% Redmosquitomat
229   Prallethrin 0.8% Vaporizer
230   Prallethrin 1.2% Mat
231   Prallethrin 19% w/w VP
232   Profenofos 50% EC
233   Propargite 57 % EC
234   Propetamphos 1% Spray
235   Propoxur 01% Spray
236   Propoxur 02% Bait
237   Propoxur 20% EC
238   Pymetrozine 50% WG
239   Pyrethrin 0.20% Spray
240   Pyribenzoxim 05 % w/w EC
241   Pyridaben 20 % w/w WP
242   Pyridalyl 10% EC
243   Pyrifluinazon 20% WG
244   Pyriproxyfen 0.50% GR
245   Pyriproxyfen10 % EC
246   Pyriproxyfen 10% EW
247   Quinalphos 01.50% DP
248   Quinalphos 5 % Granules
249   Quinalphos 20 % AF
250   Quinalphos25 % EC
251   Quinalphos25 % Gel
252   Renofluthrin 0.025% w/w Mosquito Coil
253   Renofluthrin 1.5% w/w Liquid Vaporiser
254   Renofluthrin 5% MUP
255   S-Bioallethrin 2.4% Mat
256   Spinetoram 0.1% RB
257   Spinetoram 11.70%SC
258   Spinosad 2.50% SC
259   Spinosad 2.50% w/w GR
260   Spinosad 20.62% w/w EC
261   Spinosad 45%SC
262   Spiromesifen 22.90% SC
263   Spirotetramat 15.31%w/w OD
264   Sulfoxaflor 11.4%w/w SC
265   Sulfoxaflor 21.8%w/w SC
266   Sulfoxaflor 50% WG
268   Tebufenpyrad 20% WP
269   Tebufenozide 22.64% w/w (24% w/v) SC
270   Temephos 50 % EC
271   Tetraniliprole 18.18 %w/w SC
272   Tetraniliprole 40.34%FS
273   Thiacloprid 21.70% SC
274   Thiamethoxam 0.01%w/w Gel Bait
275   Thiamethoxam 25%WG
276   Thiamethoxam 30 %FS
277   Thiamethoxam 70% WS
278   Thiamethoxam 75 % w/w SG
279   Thiamethoxam 1.2% GR
280   Thiocyclam Hydrogen Oxalate 50% SP
281   Thiodicarb 75% WP
282   Tolfenpyrad 15% EC
283   Transfluthrin 0.15% Mosquito coil
284   Transfluthrin 0.03% Mos.Coil
285   Transfluthrin 0.08% Aerosol
286   Transfluthrin 0.88% Liquid Vaporiser
287   Transfluthrin 1%EU
288   Transfluthrin 1.2%LV
289   Transfluthrin 1.6%LV
290   Transfluthrin 12.0%AE
291   Transfluthrin 20% MV Gel (30 days mat tray)
292   Triflumezopyrim 10.6% SC
293   Triflumezopyrim 20% WG
294   Zinc Phosphide 01%bait (Household Product)
295   Zinc Phosphide 80%Powder
                                   B. HERBICIDES
296   2,4-D Amine Salt 58% SL
297   2,4-D Ethyl Ester 20% WP
298   2,4-D Ethyl Ester 38% EC
299   2,4-D Ethyl Ester 4.5% GR
300   2,4-D Sodium Salt 80% min.
301   2,4-D Sodium 95% WDG
